iter	Passed	Remaining
476	8265	2131
477	8281	2113
478	8299	2096
479	8315	2078
480	8334	2061
481	8346	2043
482	8364	2026
483	8378	2007
484	8398	1991
485	8419	1974
486	8435	1957
487	8454	1940
488	8474	1923
489	8493	1906
490	8505	1888
491	8522	1870
492	8546	1854
493	8565	1837
494	8580	1820
495	8594	1802
496	8613	1785
497	8627	1767
498	8647	1750
499	8671	1734
500	8688	1716
501	8705	1699
502	8726	1682
503	8742	1665
504	8760	1648
505	8778	1630
506	8792	1612
507	8806	1594
508	8826	1578
509	8842	1560
510	8861	1543
511	8876	1525
512	8895	1508
513	8913	1491
514	8930	1474
515	8944	1456
516	8961	1438
517	8974	1420
518	8992	1403
519	9011	1386
520	9024	1368
521	9039	1350
522	9057	1333
523	9074	1316
524	9085	1297
525	9102	1280
526	9114	1262
527	9128	1244
528	9143	1227
529	9160	1209
530	9174	1192
531	9196	1175
532	9221	1159
533	9239	1141
534	9260	1125
535	9278	1107
536	9299	1091
537	9318	1073
538	9331	1056
539	9345	1038
540	9357	1020
541	9375	1003
542	9395	986
543	9412	968
544	9427	951
545	9445	934
546	9467	917
547	9485	900
548	9504	882
549	9523	865
550	9545	848
551	9562	831
552	9577	814
553	9593	796
554	9606	778
555	9622	761
556	9640	744
557	9658	726
558	9678	709
559	9689	692
560	9706	674
561	9719	657
562	9736	639
563	9756	622
564	9775	605
565	9793	588
566	9809	570
567	9827	553
568	9846	536
569	9858	518
570	9875	501
571	9896	484
572	9917	467
573	9938	450
574	9959	433
575	9977	415
576	9998	398
577	10010	381
578	10022	363
579	10047	346
580	10064	329
581	10078	311
582	10100	294
583	10120	277
584	10138	259
585	10155	242
586	10169	225
587	10187	207
588	10203	190
589	10219	173
590	10236	155
591	10259	138
592	10277	121
593	10297	104
594	10314	86
595	10334	69
596	10351	52
597	10369	34
598	10386	17
599	10406	0
